idArea,"Area","Discipline",idDiscipline
2700,"Medicine","Surgery",2746
2700,"Medicine","Transplantation",2747
2700,"Medicine","Urology",2748
2800,"Neuroscience","Neuroscience (miscellaneous)",2801
2800,"Neuroscience","Behavioral Neuroscience",2802
2800,"Neuroscience","Biological Psychiatry",2803
2800,"Neuroscience","Cellular and Molecular Neuroscience",2804
2800,"Neuroscience","Cognitive Neuroscience",2805
2800,"Neuroscience","Developmental Neuroscience",2806
2800,"Neuroscience","Endocrine and Autonomic Systems",2807
2800,"Neuroscience","Neurology",2808
2800,"Neuroscience","Sensory Systems",2809
2900,"Nursing","Nursing (miscellaneous)",2901
2900,"Nursing","Advanced and Specialised Nursing",2902
2900,"Nursing","Assessment and Diagnosis",2903
2900,"Nursing","Care Planning",2904
2900,"Nursing","Community and Home Care",2905
2900,"Nursing","Critical Care",2906
2900,"Nursing","Emergency",2907
2900,"Nursing","Fundamentals and Skills",2908
2900,"Nursing","Gerontology",2909
2900,"Nursing","Issues, Ethics and Legal Aspects",2910
2900,"Nursing","Leadership and Management",2911
2900,"Nursing","LPN and LVN",2912
2900,"Nursing","Maternity and Midwifery",2913
2900,"Nursing","Medical–Surgical",2914
2900,"Nursing","Nurse Assisting",2915
2900,"Nursing","Nutrition and Dietetics",2916
2900,"Nursing","Oncology(nursing)",2917
2900,"Nursing","Pathophysiology",2918
2900,"Nursing","Pediatrics",2919
2900,"Nursing","Pharmacology (nursing)",2920
2900,"Nursing","Phychiatric Mental Health",2921
2900,"Nursing","Research and Theory",2922
2900,"Nursing","Review and Exam Preparation",2923
3000,"Pharmacology, Toxicology and Pharmaceutics","Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",3001
3000,"Pharmacology, Toxicology and Pharmaceutics","Drug Discovery",3002
3000,"Pharmacology, Toxicology and Pharmaceutics","Pharmaceutical Science",3003
3000,"Pharmacology, Toxicology and Pharmaceutics","Pharmacology",3004
3000,"Pharmacology, Toxicology and Pharmaceutics","Toxicology",3005
3100,"Physics and Astronomy","Physics and Astronomy (miscellaneous)",3101
3100,"Physics and Astronomy","Acoustics and Ultrasonics",3102
3100,"Physics and Astronomy","Astronomy and Astrophysics",3103
3100,"Physics and Astronomy","Condensed Matter Physics",3104
3100,"Physics and Astronomy","Instrumentation",3105
3100,"Physics and Astronomy","Nuclear and High Energy Physics",3106
3100,"Physics and Astronomy","Atomic and Molecular Physics, and Optics",3107
3100,"Physics and Astronomy","Radiation",3108
3100,"Physics and Astronomy","Statistical and Nonlinear Physics",3109
3100,"Physics and Astronomy","Surfaces and Interfaces",3110
3200,"Psychology","Psychology (miscellaneous)",3201
3200,"Psychology","Applied Psychology",3202
3200,"Psychology","Clinical Psychology",3203
3200,"Psychology","Developmental and Educational Psychology",3204
3200,"Psychology","Experimental and Cognitive Psychology",3205
3200,"Psychology","Neuropsychology and Physiological Psychology",3206
3200,"Psychology","Social Psychology",3207
3300,"Social Sciences","Social Sciences (miscellaneous)",3301
3300,"Social Sciences","Archaeology",3302
3300,"Social Sciences","Development",3303
3300,"Social Sciences","Education",3304
